order_id,user_id,eval_set,order_number,order_dow,order_hour_of_day,days_since_prior_order
2,1,prior,1,2,8,
3,1,prior,2,3,7,15
4,1,prior,3,3,12,21
5,1,prior,4,4,7,29
6,1,prior,5,4,15,28
7,1,prior,6,2,7,19
8,1,prior,7,1,9,20
9,1,prior,8,1,14,14
10,1,prior,9,1,16,0
11,1,prior,10,4,8,30
12,1,train,11,4,8,14
13,2,prior,1,2,11,
14,2,prior,2,5,10,10
15,2,prior,3,1,10,3
16,2,prior,4,2,10,8
17,2,prior,5,3,11,8
18,2,prior,6,2,9,13
19,2,prior,7,2,12,14
20,2,prior,8,1,15,27
21,2,prior,9,2,9,8
22,2,prior,10,1,11,6
23,2,prior,11,1,10,30
24,2,prior,12,1,9,28
25,2,prior,13,4,11,30
26,2,prior,14,3,10,13
27,2,train,15,1,11,30
28,3,prior,1,1,14,
29,3,prior,2,3,19,9
30,3,prior,3,3,16,21
31,3,prior,4,2,18,20
32,3,prior,5,0,17,12
33,3,prior,6,0,16,7
34,3,prior,7,0,15,7
35,3,prior,8,0,17,7
36,3,prior,9,0,16,7
37,3,prior,10,3,16,17
38,3,prior,11,0,18,11
39,3,prior,12,1,15,15
40,3,test,13,5,15,11
41,4,prior,1,6,11,
42,4,prior,2,4,11,19
43,4,prior,3,4,15,21
44,4,prior,4,5,13,15
45,4,prior,5,5,13,0
46,4,test,6,3,12,30
47,5,prior,1,3,12,
48,5,prior,2,0,16,11
49,5,prior,3,3,18,10
50,5,prior,4,1,18,19
51,5,train,5,0,11,6
52,6,prior,1,5,18,
53,6,prior,2,4,16,6
54,6,prior,3,2,18,12
55,6,test,4,3,16,22
56,7,prior,1,3,9,
57,7,prior,2,1,19,30
58,7,prior,3,0,18,30
59,7,prior,4,2,10,9
60,7,prior,5,5,18,3
61,7,prior,6,1,18,10
62,7,prior,7,1,15,7
63,7,prior,8,2,12,8
64,7,prior,9,6,7,4
65,7,prior,10,1,20,9
66,7,prior,11,0,15,6
67,7,prior,12,0,14,7
68,7,prior,13,5,15,5
69,7,prior,14,1,13,17
70,7,prior,15,3,16,2
71,7,prior,16,0,13,11
72,7,prior,17,0,10,28
73,7,prior,18,0,9,7
74,7,prior,19,3,12,3
75,7,prior,20,3,9,7
76,7,train,21,2,11,6
77,8,prior,1,6,0,
78,8,prior,2,1,8,30
79,8,prior,3,5,0,30
80,8,train,4,1,14,10
81,9,prior,1,1,17,
82,9,prior,2,0,14,6
83,9,prior,3,5,12,30
84,9,train,4,6,10,30
85,10,prior,1,2,14,
86,10,prior,2,5,15,30
87,10,prior,3,3,19,12
88,10,prior,4,3,15,14
89,10,prior,5,5,20,23
90,10,train,6,0,19,30
91,11,prior,1,0,11,
92,11,prior,2,5,11,12
93,11,prior,3,5,10,14
94,11,prior,4,5,13,30
95,11,prior,5,5,11,30
96,11,prior,6,5,11,7
97,11,prior,7,5,9,30
98,11,test,8,6,11,8
99,12,prior,1,1,12,
100,12,prior,2,5,9,30
101,12,prior,3,5,8,14
102,12,prior,4,3,9,26
103,12,prior,5,1,9,30
104,12,test,6,1,20,30
105,13,prior,1,6,12,
106,13,prior,2,0,11,8
107,13,prior,3,6,21,6
108,13,prior,4,1,12,9
109,13,prior,5,0,13,6
110,13,prior,6,0,18,7
111,13,prior,7,0,8,7
112,13,prior,8,6,18,13
113,13,prior,9,6,17,7
114,13,prior,10,6,22,7
115,13,prior,11,0,14,8
116,13,prior,12,6,13,6
117,13,train,13,0,21,8
118,14,prior,1,2,18,
119,14,prior,2,5,8,30
120,14,prior,3,0,14,2
121,14,prior,4,6,8,20
122,14,prior,5,5,8,30
123,14,prior,6,1,8,30
124,14,prior,7,5,10,30
125,14,prior,8,4,8,27
126,14,prior,9,5,9,30
127,14,prior,10,4,21,30
128,14,prior,11,1,5,25
129,14,prior,12,5,9,4
130,14,prior,13,5,5,7
131,14,train,14,2,19,11
132,15,prior,1,5,13,
133,15,prior,2,6,12,15
134,15,prior,3,6,12,7
135,15,prior,4,1,11,16
136,15,prior,5,4,15,17
137,15,prior,6,5,11,8
138,15,prior,7,1,11,17
139,15,prior,8,2,17,8
140,15,prior,9,2,13,7
141,15,prior,10,2,10,21
142,15,prior,11,2,9,14
143,15,prior,12,1,8,6
144,15,prior,13,1,10,14
145,15,prior,14,1,10,14
146,15,prior,15,1,9,7
147,15,prior,16,1,9,7
148,15,prior,17,2,16,8
149,15,prior,18,2,11,7
150,15,prior,19,5,11,3
151,15,prior,20,1,13,10
152,15,prior,21,1,9,7
153,15,prior,22,1,10,14
154,15,test,23,1,9,7
155,16,prior,1,2,8,
156,16,prior,2,1,13,20
157,16,prior,3,1,20,21
158,16,prior,4,6,14,12
159,16,prior,5,2,14,30
160,16,prior,6,0,14,26
161,16,test,7,0,13,7
162,17,prior,1,2,13,
163,17,prior,2,5,10,3
